Personal Transactions
Date,Type,Category,Amount,Payment Method,Note

Business Expenses
Date,Category,Description,Amount,Payment Method,Note
2025-12-29T00:00:00.000Z,Maintenance,Showroom repair ,1200,Cash,
2025-12-22T00:00:00.000Z,Rent,2 months rent,50000,Bank Transfer,

Products
Name,Category,Status,Started,Finished,Selling Price,Client,Payment Status
Tomato container ,,wip,2026-01-01T10:45:25.490Z,,6250,,unpaid
Dining Table,,wip,2025-12-27T12:22:20.381Z,,,,unpaid
Wooden Bed,furniture,wip,2025-12-24T18:55:40.316Z,,,,unpaid
Corner cabinet ,,wip,2025-12-19T09:54:31.156Z,,,,unpaid
Rekebot,,finished,2025-12-17T05:11:20.194Z,2025-12-19T19:58:33.267Z,,,unpaid
Bed,,sold,2025-12-08T13:32:09.988Z,2025-12-12T15:05:25.995Z,25000,,unpaid
Coffee Table,,wip,2025-12-04T21:02:19.978Z,,,,unpaid
Bee Box,,wip,2025-12-04T20:40:56.394Z,,15500,,unpaid

Product Costs
Product Name,Cost Type,Description,Amount,Date
Tomato container ,material,Raw wood,100000,2026-01-01T00:00:00.000Z
Tomato container ,labor,Ambaye,2000,2026-01-01T00:00:00.000Z
Dining Table,material,Leg,9850,2025-12-27T00:00:00.000Z
Dining Table,material,Back board,7200,2025-12-27T00:00:00.000Z
Dining Table,material,9m leather ,7650,2025-12-30T00:00:00.000Z
Dining Table,material,Sponge ,4200,2025-12-30T00:00:00.000Z
Dining Table,transport,,100,2025-12-30T00:00:00.000Z
Dining Table,material,Mastish,750,2025-12-30T00:00:00.000Z
Dining Table,material,Hand,700,2025-12-30T00:00:00.000Z
Dining Table,material,Leather ,1700,2026-01-01T00:00:00.000Z
Dining Table,material,Safariya,2250,2026-01-02T00:00:00.000Z
Dining Table,material,Vayzit,500,2026-01-02T00:00:00.000Z
Wooden Bed,material,kola,550,2025-12-24T00:00:00.000Z
Wooden Bed,material,Wood,6000,2025-12-27T00:00:00.000Z
Corner cabinet ,material,MDF,10500,2025-12-19T00:00:00.000Z
Corner cabinet ,material,Slider,1000,2025-12-22T00:00:00.000Z
Corner cabinet ,material,TVP,375,2025-12-24T00:00:00.000Z
Corner cabinet ,material,sand paper,140,2025-12-24T00:00:00.000Z
Corner cabinet ,material,Kola,1550,2025-12-27T00:00:00.000Z
Rekebot,material,Mdf,2290,2025-12-17T00:00:00.000Z
Rekebot,material,Tinner and paint,1900,2025-12-17T00:00:00.000Z
Rekebot,material,Epoxy,1500,2025-12-17T00:00:00.000Z
Rekebot,material,Leg,2200,2025-12-17T00:00:00.000Z
Rekebot,material,Leg,325,2025-12-17T00:00:00.000Z
Rekebot,material,Handy,720,2025-12-17T00:00:00.000Z
Rekebot,material,Mini leg,480,2025-12-17T00:00:00.000Z
Rekebot,material,Leg,560,2025-12-17T00:00:00.000Z
Rekebot,material,Zagol,80,2025-12-17T00:00:00.000Z
Bed,material,MDF 3 x 18mm and 1 x 12mm,12200,2025-12-08T00:00:00.000Z
Bed,material,Slider 4,800,2025-12-09T00:00:00.000Z
Bed,material,Kola,1500,2025-12-09T00:00:00.000Z
Bed,material,Ganch,280,2025-12-09T00:00:00.000Z
Bed,material,Leather ,850,2025-12-09T00:00:00.000Z
Bed,material,Sponge,1100,2025-12-09T00:00:00.000Z
Bed,material,Lether,425,2025-12-10T00:00:00.000Z
Bed,material,Tinner,800,2025-12-10T00:00:00.000Z
Bed,material,Sofastin,325,2025-12-10T00:00:00.000Z
Bed,material,Key,160,2025-12-10T00:00:00.000Z
Bed,material,Paint and plaster,1300,2025-12-10T00:00:00.000Z
Bed,material,Gaz,250,2025-12-11T00:00:00.000Z
Bed,material,Handy,160,2025-12-12T00:00:00.000Z
Coffee Table,material,Metal,8000,2025-12-04T00:00:00.000Z
Coffee Table,material,Metal,1520,2025-12-04T00:00:00.000Z
Coffee Table,material,Antirest,350,2025-12-05T00:00:00.000Z
Coffee Table,material,Epoxy,1500,2025-12-27T00:00:00.000Z
Coffee Table,material,Paint,1250,2025-12-27T00:00:00.000Z
Coffee Table,material,MDF,1300,2025-12-27T00:00:00.000Z
Coffee Table,material,Stiker,772,2025-12-27T00:00:00.000Z
Bee Box,material,Raw Wood,28000,2025-12-04T00:00:00.000Z
Bee Box,transport,,900,2025-12-04T00:00:00.000Z
Bee Box,material,3 kola,1290,2025-12-06T00:00:00.000Z
Bee Box,material,2 shooter nail,1740,2025-12-06T00:00:00.000Z
Bee Box,material,shibo,330,2025-12-09T00:00:00.000Z
Bee Box,material,Paint,840,2025-12-11T00:00:00.000Z
Bee Box,material,Sander,550,2025-12-11T00:00:00.000Z
Bee Box,material,Sander,420,2025-12-12T00:00:00.000Z
Bee Box,material,Kola,1500,2025-12-12T00:00:00.000Z
Bee Box,material,Shooter nail,780,2025-12-12T00:00:00.000Z
Bee Box,material,Maxefiya,1440,2025-12-13T00:00:00.000Z
Bee Box,material,Paint,420,2025-12-13T00:00:00.000Z
Bee Box,material,Nail,1350,2025-12-18T00:00:00.000Z
Bee Box,material,shibo,800,2025-12-19T00:00:00.000Z
Bee Box,material,Nail,640,2025-12-20T00:00:00.000Z
Bee Box,material,Shibo,3200,2025-12-22T00:00:00.000Z
Bee Box,material,Nail,1400,2025-12-24T00:00:00.000Z
Bee Box,material,Nail,340,2025-12-27T00:00:00.000Z

Product Payments
Product Name,Amount,Date,Method
